Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1622.1138
FDW14,OUT017,1335.5355
NCN55,OUT010,597.93774
FDQ58,OUT017,2451.1326
FDY38,OUT027,6308.8584
FDH56,OUT046,1888.6884
FDL48,OUT018,602.60175
FDC48,OUT027,2153.519
FDN33,OUT045,1494.1863
FDA36,OUT017,3058.9243
FDT44,OUT017,1914.1277
FDQ56,OUT045,1361.2695
NCC54,OUT019,626.59143
FDU11,OUT049,2126.1982
DRL59,OUT013,757.1292
FDM24,OUT049,2432.5034
FDI57,OUT045,3758.0237
DRC12,OUT018,2790.85
NCM42,OUT027,2833.2288
FDA46,OUT010,545.57916
FDA31,OUT013,2804.3416
NCJ31,OUT035,3442.0151
FDG52,OUT046,758.56903
NCL19,OUT019,348.94968
FDS10,OUT035,3119.8894
FDX22,OUT010,643.2352
NCF19,OUT035,827.8137
NCE06,OUT046,2411.031
DRC27,OUT046,3593.7268
FDE21,OUT035,2015.2437
NCR42,OUT019,101.30475
FDX51,OUT018,2804.167
NCR06,OUT018,539.8303
FDU31,OUT027,5288.193
FDU59,OUT017,2505.2593
FDR03,OUT027,5476.8105
FDS49,OUT027,2334.7095
FDD48,OUT010,312.14066
NCF18,OUT017,3281.2688
NCD43,OUT027,2535.2786
NCD54,OUT018,1722.2404
FDY19,OUT010,254.14496
NCY54,OUT017,2900.581
NCL19,OUT018,2196.5671
FDP23,OUT010,406.6963
FDC26,OUT013,1780.0707
FDR14,OUT010,101.19491
NCS41,OUT035,3193.1357
FDF41,OUT035,3646.7214
FDU34,OUT046,1991.3229
DRH11,OUT046,910.02313
FDM03,OUT013,1707.7015
FDS31,OUT017,3126.0737
FDJ20,OUT017,2018.2769
FDV44,OUT027,5118.5225
FDG02,OUT049,3001.3142
FDA09,OUT013,3340.553
FDT04,OUT013,616.2804
FDL58,OUT019,275.0692
FDE52,OUT045,1349.4778
FDW12,OUT035,2547.272
FDL51,OUT017,3484.167
NCY42,OUT027,3404.2961
FDR07,OUT017,1498.3342
FDN40,OUT045,2284.2969
FDB35,OUT027,2441.4255
FDA22,OUT017,2722.2695
NCL06,OUT046,4286.6655
FDI35,OUT013,3199.7642
NCW42,OUT045,3632.4624
NCX06,OUT049,3224.3347
FDC37,OUT027,2649.348
FDZ14,OUT018,1742.8691
DRG49,OUT049,4457.0933
NCG06,OUT045,3175.1272
DRC36,OUT045,2694.135
FDV21,OUT019,341.298
